energy_gap,0.332675
C,3.359511,-0.046066,-0.41291
C,1.917566,-0.189251,-0.913955
C,0.78203,-0.011247,0.130249
C,0.950644,-1.032497,1.271949
C,0.815316,1.414931,0.709055
C,-0.550256,-0.285773,-0.623076
C,-1.549079,-0.052581,0.134686
C,-2.501978,1.317429,-0.186452
C,-2.892132,-1.168757,-0.178227
H,3.551646,0.942398,0.01559
H,3.607604,-0.793345,0.34685
H,4.061144,-0.181296,-1.242387
H,1.752807,0.536467,-1.721537
H,1.804177,-1.180032,-1.374112
H,1.94915,-0.848552,1.843858
H,0.116703,-0.986796,1.979335
H,0.999645,-2.055484,0.881418
H,2.253777,2.167878,-0.079541
H,0.013724,1.571031,1.437172
H,1.759196,1.611083,1.226937
H,-0.561121,0.318012,-1.540793
H,-0.513414,-1.329901,-0.959946
H,-1.688484,-0.085667,1.214267
H,-2.76676,1.379888,-1.249052
H,-3.417464,1.482904,0.392076
