energy_gap,0.780928
C,2.822019,-0.205210,0.589211
C,1.320516,-0.345269,0.856872
C,0.399503,0.189469,-0.266049
C,0.558174,1.692734,-0.482262
O,0.757446,-0.411121,-1.520790
C,-1.048091,-0.230668,0.053593
O,-1.232497,-1.621064,-0.121526
C,-1.816004,0.338475,1.206420
C,-2.255681,0.627106,-0.216793
H,3.087127,-0.629963,-0.382890
H,3.145060,0.840323,0.592891
H,3.398515,-0.727186,1.359102
H,1.070259,-1.403226,1.004532
H,1.056960,0.159005,1.793862
H,1.605222,1.935357,-0.674671
H,-0.020407,2.012544,-1.351945
H,0.230542,2.262611,0.391857
H,0.781202,-1.362273,-1.365099
H,-1.384777,-1.759142,-1.063119
H,-2.407114,-0.361949,1.784704
H,-1.376116,1.146939,1.779965
H,-2.126303,1.630450,-0.603287
H,-3.142379,0.114168,-0.573325
